City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
148,nar'yan-mar,67.6713,53.087,-6.1,95,100,7.04,RU,1733712692
149,tolanaro,-25.0319,46.9987,25.04,83,75,6.17,MG,1733712693
150,pastos bons,-6.6017,-44.0767,26.13,48,91,1.56,BR,1733712694
151,dudinka,69.4058,86.1778,-12.03,95,100,4.94,RU,1733712695
152,gebeit,21.0667,36.3167,16.31,85,81,2.53,SD,1733712696
153,yellowknife,62.456,-114.3525,-12.71,92,100,3.6,CA,1733712697
154,ancud,-41.8697,-73.8203,8.74,83,77,2.5,CL,1733712698
155,isafjordur,66.0755,-23.124,4.05,91,90,5.26,IS,1733712699
156,coronel dorrego,-38.7187,-61.2873,17.98,30,71,7.53,AR,1733712551
157,zeya,53.75,127.2667,-14.76,78,100,0.81,RU,1733712702
158,lubango,-14.9172,13.4925,18.92,68,75,1.03,AO,1733712667
159,homer,59.6425,-151.5483,5.94,77,100,10.8,US,1733712704
160,luderitz,-26.6481,15.1594,19.83,56,5,8.18,NA,1733712705
161,stjordalshalsen,63.4681,10.9262,1.07,100,75,3.09,NO,1733712706
162,college,64.8569,-147.8028,-12.03,72,100,0.0,US,1733712707
163,sadovoye,47.7764,44.5089,-2.15,82,89,5.69,RU,1733712708
164,chimoio,-19.1164,33.4833,20.92,100,40,0.81,MZ,1733712709
165,racine,42.7495,-88.0751,5.42,87,25,3.32,US,1733712711
166,porto seguro,-16.4497,-39.0647,25.29,94,20,2.57,BR,1733712712
167,fernie,49.5,-115.0687,-7.24,97,100,0.95,CA,1733712713
168,puerto esperanza,-26.0152,-54.6731,19.1,100,100,1.21,AR,1733712450
169,vilyuysk,63.7553,121.6247,-27.24,98,100,0.83,RU,1733712715
170,midvagur,62.0511,-7.1939,6.46,75,100,8.75,FO,1733712716
171,mandan,46.8267,-100.8896,4.76,66,100,8.23,US,1733712717
172,aasiaat,68.7098,-52.8699,-11.61,96,92,2.73,GL,1733712718
173,murray,40.6669,-111.888,4.15,76,100,3.6,US,1733712509
174,meulaboh,4.1363,96.1285,25.33,83,100,0.9,ID,1733712722
175,isabela,6.7085,121.9711,29.03,73,87,4.03,PH,1733712723
176,utete,-7.986,38.758,22.34,97,21,0.54,TZ,1733712724
177,port alfred,-33.5906,26.891,19.54,89,96,2.37,ZA,1733712725
178,darwha,20.3167,77.7667,20.19,34,99,2.97,IN,1733712726
179,hithadhoo,-0.6,73.0833,27.65,70,39,6.71,MV,1733712727
180,sitka,57.0531,-135.33,4.94,87,100,1.54,US,1733712729
181,maevatanana,-13.8831,48.5289,23.78,94,34,1.22,MG,1733712730
182,usinsk,65.9939,57.5281,-12.25,95,100,8.01,RU,1733712731
183,greeley,40.4233,-104.7091,4.93,56,2,3.5,US,1733712630
184,praia da vitoria,38.7333,-27.0667,18.14,72,75,5.1,PT,1733712733
185,sosnovo-ozerskoye,52.5249,111.5418,-14.22,95,93,3.7,RU,1733712734
186,kirakira,-10.4544,161.9205,29.8,71,67,3.18,SB,1733712735
187,thompson,55.7435,-97.8558,-16.91,85,75,1.54,CA,1733712738
188,puerto ayora,-0.7393,-90.3518,22.53,94,72,2.68,EC,1733712739
189,alindao,5.0267,21.2088,22.41,45,66,0.72,CF,1733712740
190,la passe,45.5549,-0.8967,7.76,80,95,8.04,FR,1733712741
191,sao jose da coroa grande,-8.8978,-35.1478,25.47,74,26,5.56,BR,1733712742
192,ust-nera,64.5667,143.2,-25.31,97,100,1.47,RU,1733712630
193,prairie du chien,43.0517,-91.1412,5.01,75,0,0.0,US,1733712744
194,abhar,36.1468,49.218,2.12,79,100,0.57,IR,1733712745
195,vilhena,-12.7406,-60.1458,21.14,93,92,1.31,BR,1733712508
196,aldama,22.9167,-98.0667,19.54,92,100,0.39,MX,1733712748
197,cooma,-36.2333,149.1333,24.66,16,82,4.56,AU,1733712749
198,castillos,-34.1667,-53.8333,8.99,76,0,0.88,UY,1733712750
199,santa cruz,-17.8,-63.1667,21.7,94,75,1.54,BO,1733712722
200,axim,4.8699,-2.2405,25.85,81,39,2.49,GH,1733712752
201,colonia,50.9333,6.95,5.36,87,100,6.17,DE,1733712735
202,manokwari,-0.8667,134.0833,28.02,79,95,1.62,ID,1733712754
203,posto fiscal rolim de moura,-13.0833,-62.2667,22.94,97,100,1.12,BR,1733712756
204,tazacorte,28.629,-17.9293,17.54,88,75,4.63,ES,1733712757
205,cidreira,-30.1811,-50.2056,18.96,61,88,4.82,BR,1733712758
206,badger,64.8,-147.5333,-12.07,81,0,0.0,US,1733712759
207,baie-comeau,49.2168,-68.1489,-6.18,86,100,2.57,CA,1733712462
208,ilhabela,-23.7781,-45.3581,23.32,97,100,1.92,BR,1733712459
209,oranjemund,-28.55,16.4333,15.65,92,1,5.45,NA,1733712762
210,tazovsky,67.4667,78.7,-13.08,93,100,6.34,RU,1733712763
